"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","060650012","1","6","ug/m3 SC","6","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/07/2024","AQS","060650012","1","5","ug/m3 SC","5","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/13/2024","AQS","060650012","1","17","ug/m3 SC","16","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/19/2024","AQS","060650012","1","13","ug/m3 SC","12","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/25/2024","AQS","060650012","1","8","ug/m3 SC","7","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/31/2024","AQS","060650012","1","12","ug/m3 SC","11","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/06/2024","AQS","060650012","1","1","ug/m3 SC","1","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/12/2024","AQS","060650012","1","4","ug/m3 SC","4","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/18/2024","AQS","060650012","1","9","ug/m3 SC","8","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"02/24/2024","AQS","060650012","1","7","ug/m3 SC","6","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/01/2024","AQS","060650012","1","9","ug/m3 SC","8","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/07/2024","AQS","060650012","1","4","ug/m3 SC","4","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/13/2024","AQS","060650012","1","17","ug/m3 SC","16","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/19/2024","AQS","060650012","1","11","ug/m3 SC","10","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/25/2024","AQS","060650012","1","9","ug/m3 SC","8","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"03/31/2024","AQS","060650012","1","2","ug/m3 SC","2","Banning Airport","1","100.0000","81102","PM10 Total 0-10um STP","141","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
