"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/11/2024","AirNow","060650009","1","7.1","ug/m3 LC","39","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/12/2024","AirNow","060650009","1","7.8","ug/m3 LC","43","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/13/2024","AirNow","060650009","1","8.5","ug/m3 LC","47","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/14/2024","AirNow","060650009","1","7.9","ug/m3 LC","44","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/15/2024","AirNow","060650009","1","7.4","ug/m3 LC","41","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/16/2024","AirNow","060650009","1","4.9","ug/m3 LC","27","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/17/2024","AirNow","060650009","1","4.2","ug/m3 LC","23","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/18/2024","AirNow","060650009","1","6.5","ug/m3 LC","36","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/19/2024","AirNow","060650009","1","5.2","ug/m3 LC","29","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"09/20/2024","AirNow","060650009","1","4.7","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
